Inflow_m3_s,Energy_Consumption_MWh
4.259,260.068
4.103,360.903
4.579,202.419
4.08,261.043
5.424,258.182
5.34,294.068
3.495,214.921
4.724,295.183
5.818,321.522
3.647,167.532
5.284,366.068
4.405,328.625
3.966,243.256
3.31,230.038
4.326,221.233
3.552,257.576
6.998,329.858
3.851,259.038
3.639,221.996
4.215,249.125
4.072,259.769
4.887,230.809
3.546,280.161
3.356,186.893
3.864,296.912
4.919,263.942
3.724,249.098
3.651,292.543
5.744,283.027
5.25,351.076
4.563,282.173
5.295,299.886
5.83,222.837
5.039,314.438
4.208,326.495
3.578,208.883
3.835,200.055
4.332,206.024
4.703,332.033
4.002,273.805
3.857,255.255
5.38,385.023
3.687,199.607
3.595,248.445
4.142,311.694
3.816,264.152
3.735,266.258
5.696,223.776
5.065,263.832